56004,Rydygiera
56101,Zaułek Dworcowy nż.
56202,Zaułek Dworcowy nż.
56302,Słoneczna nż.
56401,Słoneczna nż.
56502,Czeremchowa nż.
56601,Czeremchowa nż.
56701,Brzoskwiniowa nż.
56803,Gołębia
56903,Lniana
57002,Centrum Handlowe-Zachód nż.
57101,Centrum Handlowe-Zachód nż.
57203,PLAC SKALSKIEGO
57301,Łukasiewicza
57501,Złotoria - Akacjowa nż.
57602,Złotoria - Akacjowa nż.
57701,Kopanino - Przy Dębie nż.
57802,Kopanino - Przy Dębie nż.
57902,Osiedle Młodych
58003,Osiedle Młodych
58203,Od Nowa
58304,Od Nowa
58403,Akademiki
58504,Akademiki
58603,Aula UMK
58704,Aula UMK
58804,Szosa Okrężna
58903,Szosa Okrężna
59001,UNIWERSYTET
59104,Fałata
59203,Fałata
59301,Dyngusowa nż.
59402,Dyngusowa nż.
59502,Fantazyjna nż.
59601,Skierki nż.
59702,Skierki nż.
59803,Dożynkowa nż.
59902,os. Leśne - Polana nż.
60004,Kusocińskiego nż.
60103,Kusocińskiego nż.
60201,BARBARKA
60301,Fantazyjna nż.
61501,KOLONIA PAPOWSKA
61901,Krobia-Kalinowa nż.
62002,Krobia-Kalinowa nż.
62101,Krobia-Osiedlowa nż.
62202,Krobia-Osiedlowa nż.
62301,Krobia-Poligraficzna nż.
62402,Krobia-Poligraficzna nż.
62501,KROBIA
62602,WAPIENNA
62701,Chrzanowskiego nż.
62801,Wodna nż.
62902,Wodna nż.
63002,Arena Toruń
63101,Arena Toruń
63202,Rypińska
63301,Rypińska
63402,Lipnowska nż.
63501,Lipnowska nż.
63602,Rogówko n/ż
63703,Wybickiego
63801,Popiela
63902,Popiela
64003,Sczanieckiego
64101,Sczanieckiego
64202,Sczanieckiego
64301,Od Nowa
64402,Fort V nż.
64501,Fort V nż.
64602,Freytaga
64701,Freytaga
64801,Hubego
65004,Gen. Grota Roweckiego nż.
65105,Gen. Grota Roweckiego nż.
65203,Wiśniowieckiego
65502,Bema
65601,Otłoczyńska nż.
65702,Kmicica nż.
65802,GLINIECKA
65902,Galeria Copernicus
66001,Chrobrego nż.
66102,Chrobrego nż.
66204,Chrobrego nż.
66303,Chrobrego nż.
66402,Zimowa nż.
66503,os. Leśne-Polana nż.
